Date,Open,High,Low,Close,Adj Close,Volume
7/3/2000,26.63,26.63,26,26.13,26.13,483100
7/5/2000,27.25,28.88,27.06,28.38,28.38,1840000
7/6/2000,28.44,29.56,27.81,29,29,1820000
7/7/2000,29.81,29.94,29.13,29.13,29.13,1150000
7/10/2000,29.75,30.13,29.19,30,30,711800
7/11/2000,29.5,29.81,29.06,29.44,29.44,1050000
7/12/2000,30.38,31.19,29.94,30.63,30.63,2170000
7/13/2000,30.63,31.56,30.13,31.56,31.56,1340000
7/14/2000,32.25,32.31,31.75,32.13,32.13,754600
7/17/2000,32.63,33,32.5,32.63,32.63,766700
7/18/2000,33.06,33.75,32.25,32.88,32.88,1170000
7/19/2000,32.38,32.44,30,31.5,31.5,2030000
7/20/2000,31.5,32.13,31.38,31.63,31.63,929900
7/21/2000,31.88,32.63,31.81,32.5,32.5,779500
7/24/2000,32.63,34.19,32.56,33.69,33.69,923200
7/25/2000,33.38,34.13,32.5,32.94,32.94,853600
7/26/2000,32.94,33.19,32.5,32.63,32.63,870000
7/27/2000,33,33.19,32.31,33,33,870300
7/28/2000,33.19,33.69,31,31.38,31.38,774400
7/31/2000,31.38,33.44,31.38,33.06,33.06,1240000
8/1/2000,33.5,33.5,32.63,32.88,32.88,748700
8/2/2000,33.13,33.13,32,32.38,32.38,733300
8/3/2000,31.75,32.81,31.75,32.5,32.5,814900
8/4/2000,32.69,33.44,31.88,33.25,33.25,1430000
8/7/2000,33.5,33.69,33.13,33.5,33.5,760700
8/8/2000,33.94,34.25,33.25,34.06,34.06,1310000
8/9/2000,33.75,33.81,33,33.38,33.38,991200
8/10/2000,33.19,33.94,33.06,33.75,33.75,546700
8/11/2000,34.13,34.94,33.44,34.44,34.44,705700
8/14/2000,34.31,34.5,33.63,34.06,34.06,648700
8/15/2000,33.5,33.69,33.13,33.25,33.25,570300
8/16/2000,33.38,33.38,32.63,33,33,305800
8/17/2000,32.5,33.06,32.13,33,33,409800
8/18/2000,32.88,33.25,32.56,32.88,32.88,637000
8/21/2000,32.5,33,32.44,32.63,32.63,523100
8/22/2000,33.63,34.25,33.56,33.81,33.81,1030000
8/23/2000,33.19,33.25,31.19,32,32,1580000
8/24/2000,32.13,33.44,31.81,32.63,32.63,681900
8/25/2000,32.94,33.38,32.25,32.81,32.81,596100
8/28/2000,32.5,33.75,32.5,33.31,33.31,707800
8/29/2000,32.56,33.69,32.44,33.5,33.5,664700
8/30/2000,33.38,33.81,33.31,33.38,33.38,322200
8/31/2000,33,33.44,32.63,32.81,32.81,658900
9/1/2000,32.81,32.81,31.94,32.69,32.69,615400
9/5/2000,32.75,33.94,32.63,33.81,33.81,627300
9/6/2000,34.19,34.25,33.5,33.56,33.56,440900
9/7/2000,33.31,33.44,32.69,33.13,33.13,667200
9/8/2000,33.5,33.56,32.81,33.06,33.06,381500
9/11/2000,33.63,33.69,31.56,32,32,675000
9/12/2000,32,32.56,31.81,32.5,32.5,559500
9/13/2000,32.5,34.38,32.44,33,33,753100
9/14/2000,33.75,34.25,33,33.5,33.5,967800
9/15/2000,33.19,33.5,32.63,32.94,32.94,669800
9/18/2000,32.38,32.69,32,32.06,32.06,577700
9/19/2000,32.06,32.25,31.19,32.13,32.13,891400
9/20/2000,31.88,32.56,31.44,32.38,32.38,495700
9/21/2000,32.56,33.63,32.13,33.63,33.63,916500
9/22/2000,33,35,32.69,34.69,34.69,1360000
9/25/2000,34.75,35.44,33.31,33.38,33.38,997400
9/26/2000,33.38,33.81,32.31,33.56,33.56,690300
9/27/2000,33.13,33.5,32.81,33.38,33.38,661700
9/28/2000,33.38,34.81,32.5,34.63,34.63,803300
9/29/2000,33.88,33.88,32.44,32.75,32.75,1330000
10/2/2000,32.19,33.31,32.19,32.75,32.75,523200
10/3/2000,33.13,34.56,32.94,33.5,33.5,1030000
10/4/2000,34.13,35.69,33.81,34.31,34.31,1170000
10/5/2000,34.88,35.63,34.75,35,35,962500
10/6/2000,35.06,35.69,32.94,33.81,33.81,1290000
